Species_id,Scientific_name,Common_name,Tamil_name,ICUN_status,Breeding_start,Breeding_end,Legal_status,Description,
1,Sardinella longiceps,Indian Oil Sardine,Mathi,Least Concern,February,April,Seasonal Restriction,Small pelagic fish widely caught along Indian coasts,
2,Rastrelliger kanagurta,Indian Mackerel,Ayilai,Least Concern,March,May,Seasonal Restriction,Common commercial fish in Indian coastal fisheries,
3,Thunnus albacares,Yellowfin Tuna,Soorai,Near Threatened,April,June,Legal,Large migratory tuna species found in tropical oceans,
4,Euthynnus affinis,Kawakawa Tuna,Chura,Least Concern,April,July,Legal,Small tuna species commonly caught in coastal waters,
5,Scomberomorus commerson,Narrow-barred Spanish Mackerel,Vanjaram,Near Threatened,May,July,Seasonal Restriction,High-value commercial fish popular in South India,
6,Lates calcarifer,Barramundi,Koduvai,Least Concern,June,September,Seasonal Restriction,Found in coastal and estuarine waters,
7,Mugil cephalus,Flathead Grey Mullet,Madavai,Least Concern,October,January,Legal,Coastal fish commonly found in lagoons and estuaries,
8,Lutjanus campechanus,Red Snapper,Sankara,Vulnerable,May,August,Protected,Important reef fish vulnerable to overfishing,
9,Epinephelus malabaricus,Malabar Grouper,Kalava,Near Threatened,April,June,Protected,Large reef predator often targeted by fisheries,
10,Portunus pelagicus,Blue Swimming Crab,Neel Nandu,Least Concern,March,June,Seasonal Restriction,Economically important crab species in Indian waters,
